id,advertiserId,advertiserName,postId,text,media,type,html,timestampPosted,timestampParsed,privacy,createdAt,updatedAt,candidateParty,views,url,like,love,haha,wow,sad,angry,comments,shares,interests,links
1789908,244468075603032,BIRCHBOX,1583620015021158,"Get your first Birchbox for £5 + £2.95 P&P and discover the best in beauty with 5 personalised treats. Hurry, ends Wednesday! Use code FIVER at checkout: http://birch.ly/2CcUtBB",https://scontent-dub4-1.xx.fbcdn.net/v/t31.0-8/p960x960/28423841_1583620015021158_6884136337279387792_o.jpg?oh=73114d67aee472ff2bd3ae781ec41985&oe=5B488306,,,,2018-02-23T10:39:14.915Z,Public,2018-02-23T10:39:21.964Z,2018-02-23T10:39:21.964Z,,,https://facebook.com/1583620015021158,471,20,,3,,,224,53,,
1789944,1574716462821305,LoveBoth Project,756766637860452,Voters need to know what repeal will really mean. Hear Victoria explain.,blob:https://www.facebook.com/ba7f0fb9-59b3-4ecb-8a62-c8b6b5295483;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/24899957_1803342823292000_1694974354721353638_n.jpg?oh=4df45238d43966cb66b1263747cf53af&oe=5B153F9D;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/24570410_756766667860449_6649795682829860864_n.jpg?oh=3195857c5daf9b8e859484d1534a2872&oe=5B1BA6B1;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/24570410_756766667860449_6649795682829860864_n.jpg?oh=3195857c5daf9b8e859484d1534a2872&oe=5B1BA6B1;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-23T10:43:23.253Z,Public,2018-02-23T10:44:21.541Z,2018-02-23T10:44:21.541Z,,,https://facebook.com/756766637860452,468,41,,,13,,30,333,,
1771230,315939715047,National Gallery of Ireland,10160055696285083,"Emil Nolde: Colour is Life;New exhibition now open;Electrifying\"" ... \""Visceral\""... ''Emil Nolde: Colour is Life'' is the powerful new exhibition now at the the National Gallery of Ireland. Don''t miss it! #NoldeColourIsLife",blob:https://www.facebook.com/e579b6d2-ec78-450c-869c-9e7949c211b1;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/18892965_10158728288090048_2435863444081461759_n.jpg?oh=0beb59e4ad12b6216cb3a688eb3aad6f&oe=5B1D4166;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27410487_10160055696390083_5500579747156983808_n.jpg?oh=a1e8344e2c283123aa06e1579efa02e4&oe=5B212D95;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27410487_10160055696390083_5500579747156983808_n.jpg?oh=a1e8344e2c283123aa06e1579efa02e4&oe=5B212D95;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/cLjNxAGt3iV.png;https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/cLjNxAGt3iV.png;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-19T17:34:46.859Z,Public,2018-02-19T17:35:22.959Z,2018-02-19T17:35:22.959Z,,,https://facebook.com/10160055696285083,463,27,4,,,,40,62,,
1773294,116635611711738,merrionstreet.ie,1929985747043373,"Project #Ireland2040 is the Government of Ireland’s plan to make Ireland a better country for all, a country that reflects the best of who we are and what we aspire to be. This ambitious plan will drive Ireland’s long term economic, environmental and social progress across all parts of the country over the next decade.  Today we launch Project  #Ireland2040. Find out what Project Ireland means for you at gov.ie/2040",blob:https://www.facebook.com/8dba82c5-53c1-4f8c-8edb-da93535119e8;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/c75.116.605.605/s32x32/27973876_1929943767047571_3384857265646505621_n.png?oh=0018df202e611cf5d6808b578b6b175e&oe=5B12FA58;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27593286_1929989230376358_2792067005434298368_n.jpg?oh=309661ed082891ad35c1b79608d57b44&oe=5B0F06ED;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27593286_1929989230376358_2792067005434298368_n.jpg?oh=309661ed082891ad35c1b79608d57b44&oe=5B0F06ED;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-20T09:05:37.287Z,Public,2018-02-20T09:06:21.730Z,2018-02-20T09:06:21.730Z,,,https://facebook.com/1929985747043373,446,,47,,,24,241,225,,
1763378,628821723950814,REMARKABLE,10156156103704703,"reMarkable - a \""Kindle\"" with a pen;reMarkable is a paper tablet. It lets you read, write and sketch with a paper-like feel. Here to replace your notebooks and printed documents.;Wouldn''t it be great if your e-reader came with a pen? A pen that delivered a paper-like writing experience?",blob:https://www.facebook.com/f51df654-5734-4990-a9da-01554658057c;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/13511052_637745316391788_8144049655392994413_n.jpg?oh=0ec219f986665e006be076492cf8dbae&oe=5B059BE5;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/24584248_10156156104074703_8637754178053079040_n.jpg?oh=fbd7640e93bebfb9b1f404828636c92a&oe=5B169033;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/24584248_10156156104074703_8637754178053079040_n.jpg?oh=fbd7640e93bebfb9b1f404828636c92a&oe=5B169033;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,,,,2018-02-17T13:00:10.269Z,Public,2018-02-17T13:00:21.279Z,2018-02-17T13:00:21.279Z,,,https://facebook.com/10156156103704703,445,43,,19,,,41,97,,
1768259,687589164666184,MasterClass,10156105749238664,"Ron Howard Teaches Directing;Deconstruct the craft of directing with the two-time Oscar winner.;Oscar-winning director Ron Howard deconstructs his process for storytelling, working with actors, and blocking scenes.",https://scontent.fisb1-1.fna.fbcdn.net/v/t1.0-1/p50x50/11218752_833692573389175_8439642485307522335_n.jpg?oh=ddecfc5b2bc427722bcdbb4f294b6c84&oe=5B239A76;https://scontent.fisb1-1.fna.fbcdn.net/v/t15.0-10/27408747_10156105749298664_8457909925840945152_n.jpg?oh=3d63986062c7c679bf770aab2f84c58b&oe=5B0D75C4;https://scontent.fisb1-1.fna.fbcdn.net/v/t15.0-10/27408747_10156105749298664_8457909925840945152_n.jpg?oh=3d63986062c7c679bf770aab2f84c58b&oe=5B0D75C4;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent.fisb1-1.fna.fbcdn.net/v/t1.0-1/p32x32/17799367_10155069911543886_1775944567015356083_n.jpg?oh=4c558a92a2d25fdf0dddab1c1a6f39ee&oe=5B196F72,,,,2018-02-19T07:22:09.188Z,Public,2018-02-19T07:22:21.548Z,2018-02-19T07:22:21.548Z,,,https://facebook.com/10156105749238664,436,47,,3,,,35,67,,
1666318,487571865601,Happy Socks,359880101142876,"Winter SALE: -30%;Plus, free shipping!;Make winter a bit cooler! Shop now for 30% off and free shipping at 👉 www.HappySocks.com",blob:https://www.facebook.com/54be2ad5-e1a6-4d16-a4c2-760a6313da48;https://scontent-lhr3-1.xx.fbcdn.net/v/t1.0-1/p50x50/16999158_10158390886445602_5194731870282936025_n.jpg?oh=82119d4e5e6f1a1b7ffac9e06612be0a&oe=5AE03350;https://static.xx.fbcdn.net/images/emoji.php/v9/f51/1/16/1f449.png;https://scontent-lhr3-1.xx.fbcdn.net/v/t15.0-10/24585583_359880114476208_5126001759348588544_n.jpg?oh=54bf062bcb8e887542e40bf8807558b2&oe=5B1FEC58;https://scontent-lhr3-1.xx.fbcdn.net/v/t15.0-10/24585583_359880114476208_5126001759348588544_n.jpg?oh=54bf062bcb8e887542e40bf8807558b2&oe=5B1FEC58;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-lhr3-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-01-25T10:05:31.444Z,Public,2018-01-25T10:06:29.784Z,2018-01-25T10:06:29.784Z,,,https://facebook.com/359880101142876,426,20,1,,,,38,14,,
1705412,99636325744,Django Django,10155350799355745,"Django Django and Self Esteem’s new video is synth-pop magic;Watch the U.K. artists’ video for “Surface To Air,” taken from Django Django’s new album Marble Skies.;check out the video to our new single, Surface to Air ft. Self Esteem (Rebecca Lucy Taylor) over on The FADER 💥 #marbleskies",https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/22279746_10155072740910745_3564467988030168538_n.jpg?oh=cecbd5745ae5eb54bee4bf5c9b7a5f80&oe=5ADCF199;https://static.xx.fbcdn.net/images/emoji.php/v9/f40/1/16/1f4a5.png;https://external-dub4-1.xx.fbcdn.net/safe_image.php?d=AQAzBdG4UMK48GSZ&w=476&h=249&url=http%3A%2F%2Fthefader-res.cloudinary.com%2Fprivate_images%2Fc_limit%2Cw_1024%2Fc_crop%2Ch_532%2Cw_1023%2Cx_0%2Cy_33%2Cf_auto%2Cq_auto%3Aeco%2FScreen_Shot_2018-01-29_at_;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-04T09:04:05.077Z,Public,2018-02-04T09:04:21.051Z,2018-02-04T09:04:21.051Z,,,https://facebook.com/10155350799355745,422,54,,,,,21,22,,
1701083,1574716462821305,LoveBoth Project,1818410448451904,"\""I was adopted. My birth mother could not raise me. She may have not planned or sought to become pregnant but she did love me\"" https://loveboth.ie/my-birth-mother-loved-me/",https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/24899957_1803342823292000_1694974354721353638_n.jpg?oh=19af16c0b1465e6674c3f7f567a0c621&oe=5B216E5D;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-0/s480x480/26804571_1818410055118610_4770277778056209082_n.jpg?oh=e3a23dc2bccf654d2e56d3bee778f852&oe=5AD895B2;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-02T16:38:39.777Z,Public,2018-02-02T16:39:21.767Z,2018-02-02T16:39:21.767Z,,,https://facebook.com/1818410448451904,415,33,,,2,,18,45,,
1775733,150407261816865,TK Maxx,741204992737086,"Triona McCarthy, Holly.ie and Deirdre O''Kane have been busy clearing out their wardrobes to support our Give Up Clothes For Good campaign. Once you have donated, don’t forget to nominate a friend, colleague or family member to do the same to help take action on disability and support Enable Ireland. #GUCFG",blob:https://www.facebook.com/4cf84a18-aa79-4634-9038-331438c3da9b;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/1513793_328453774012212_6085006030965677962_n.jpg?oh=2d94837aad98c779fdae575309e3c4c0&oe=5B11CA68;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/27418591_741206349403617_8805320188212805632_n.jpg?oh=f9694cb501a0b031952da499e3b0e3e9&oe=5B06756F;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/27418591_741206349403617_8805320188212805632_n.jpg?oh=f9694cb501a0b031952da499e3b0e3e9&oe=5B06756F;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-20T16:34:13.675Z,Public,2018-02-20T16:34:21.157Z,2018-02-20T16:34:21.157Z,,,https://facebook.com/741204992737086,400,24,1,,,,54,99,Shopping and fashion,
1763232,252777138068687,The Life Coach School,10211792215426511,Why People Over Drink;Discover why people have the desire to over drink and how I used my experience as a coach to get rid of the desire [...];Ever wonder why people over drink? Watch to video to learn... Then click here to learn more: https://brooke.clickfunnels.com/order-1291064618011099,blob:https://www.facebook.com/88e694f7-64e6-4adc-a23b-465c68d9d576;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/13307378_1231339396879118_4332565963932684075_n.jpg?oh=b8b075faa20227a7ca08f1c3e323de24&oe=5B17956F;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/27405717_10211806988275823_1748769777939120128_n.jpg?oh=a361bdf84e14751fcbd802ca255b88b7&oe=5B1B25F4;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/23380323_10155930210191584_2453372300567251450_n.jpg?oh=e75a000a96028d595f817f8e4e6a2fc3&oe=5B092520,,,,2018-02-17T12:00:59.108Z,Public,2018-02-17T12:01:20.360Z,2018-02-17T12:01:20.360Z,,,https://facebook.com/10211792215426511,391,20,13,,,,154,179,,
1686537,487571865601,Happy Socks,10160003614550602,Get your hands on more happiness.  HappySocks.com 📷 itseriikaamp,https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/27459089_10160006397785602_7013494110761095148_n.png?oh=c625b5d226489144eb1ffe4354def735&oe=5AEBE973;https://static.xx.fbcdn.net/images/emoji.php/v9/f5d/1/16/1f4f7.png;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-0/s480x480/27331771_10160003614550602_1447152668753485489_n.jpg?oh=c71c155af6e5c619b7cac8027bdcf386&oe=5B1C9AC5;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-01-30T09:19:33.369Z,Public,2018-01-30T09:20:28.069Z,2018-01-30T09:20:28.069Z,,,https://facebook.com/10160003614550602,385,21,,,,,12,4,,
