id,advertiserId,advertiserName,postId,text,media,type,html,timestampPosted,timestampParsed,privacy,createdAt,updatedAt,candidateParty,views,url,like,love,haha,wow,sad,angry,comments,shares,interests,links
1774730,1492437187640653,Land Rover Ireland,2075279992689700,"99 hair-raising turns and 999 brutal steps stand between the Range Rover Sport Plug-In Hybrid and Heaven’s Gate on Tianmen Mountain, China. Will it make it?  Watch the Dragon Challenge: http://bit.ly/2C99STI",blob:https://www.facebook.com/38e14505-e8d3-4950-80fd-d3c71149c63b;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/1391663_1529791363905235_8755622203108675060_n.png?oh=d8bcf582db437f422def3a8bf1aec316&oe=5B046F50;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27864234_2075280356022997_2092899093318729728_n.jpg?oh=81be18bd3be25ca482f6d541f7f02ac7&oe=5B192E4D;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/p720x720/27864234_2075280356022997_2092899093318729728_n.jpg?oh=81be18bd3be25ca482f6d541f7f02ac7&oe=5B192E4D;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/JVHFHclswba.png;https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/JVHFHclswba.png;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-20T14:22:22.955Z,Public,2018-02-20T14:23:22.458Z,2018-02-20T14:23:22.458Z,,,https://facebook.com/2075279992689700,19,1,,2,,,,7,
1727466,687589164666184,MasterClass,1699144940177263,Need a last-minute Valentine’s Day gift? Give an online class taught by the best in the world.,https://scontent.fybz2-2.fna.fbcdn.net/v/t1.0-1/p32x32/11218752_833692573389175_8439642485307522335_n.jpg?oh=049d5a42db2f55169463d22b64c40deb&oe=5B258379;https://scontent.fybz2-2.fna.fbcdn.net/v/t45.1600-4/c0.0.600.600/p600x600/24296249_23842780580550078_3782151430673006592_n.png?oh=4cb4e8e6cb6f4eb9593bb82775b1751e&oe=5AE12490;https://scontent.fybz2-2.fna.fbcdn.net/v/t45.1600-4/c0.0.600.600/p600x600/23589756_23842762745440078_3151386082541568000_n.png?oh=bec6fcd103434e52673ba26255af2810&oe=5B158303;https://scontent.fybz2-2.fna.fbcdn.net/v/t45.1600-4/c0.0.600.600/p600x600/23560382_23842762621220078_4215843879464730624_n.png?oh=967e980bfb75a82c8ef44db3ade3a832&oe=5B0E106B;https://scontent.fybz2-2.fna.fbcdn.net/v/t45.1600-4/c0.0.600.600/p600x600/24204362_23842780139320078_8413770529760083968_n.png?oh=cb78a6113647fa107fa670975cb5b932&oe=5B0BB748;https://scontent.fybz2-2.fna.fbcdn.net/v/t45.1600-4/c0.0.600.600/p600x600/16632976_6082083089620_4802753256407171072_n.png?oh=2f5175329f352293511fd62e31a6dffe&oe=5B17F975,,,,2018-02-08T21:07:02.419Z,Public,2018-02-08T21:07:21.681Z,2018-02-08T21:07:21.681Z,,,https://facebook.com/1699144940177263,19,2,,,,,2,3,
1709408,148510282559,T.M.Lewin,10156168992002560,All Shirts and Ties €29.95 + Free Delivery;Includes Our Ultimate Non-Iron Shirts and Luxurious Italian Collection Ties;All Shirts and Ties €29.95 + Free Delivery - Exclusive Facebook Offer. Includes Our Ultimate Non-Iron Shirts and Luxurious Italian Collection Ties.,https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/14729313_10154586391237560_1583778301542032896_n.jpg?oh=91ef38c32cdbaac0b12df957e2f69002&oe=5ADF8F05;https://scontent-lht6-1.xx.fbcdn.net/v/t45.1600-4/c0.14.476.249/p476x249/25512651_6112095214051_4402374115856482304_n.png?oh=71f6ec4cf03507eebe176cf85c58bc90&oe=5ADAF70D;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-05T12:11:18.593Z,Public,2018-02-05T12:12:21.933Z,2018-02-05T12:12:21.933Z,,,https://facebook.com/10156168992002560,18,,,,,,,,
1720294,102653899786024,ChoiceCuts,1789477797770284,"Strap yourself in cos we have 3 huge shows just around the corner as guitar virtuoso, of critically acclaimed funk outfit Vulfpeck, Cory Wong preps to, and I quote, \""bring-da-funk\"" for the very first time as a solo act to our beautiful city! Where will you be?! 22/02 - Bello Bar - Cory Wong from Vulfpeck - Pop-Up Show 23/02 - The Sugar Club - Cory Wong (from Vulfpeck)... 24/02 - Bello Bar - Cory Wong from Vulfpeck Bonus Pop-Up Sat 24th Feb Have your stank faces at the ready cos it''s gonna be three massive nights full of A Grade funk! See more",blob:https://www.facebook.com/2b514bab-b7fb-4acb-8716-67854525cef4;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/1390516_625711127480296_2076328203_n.png?oh=8c2d37b367bba14045e890c78bb3c4df&oe=5AE0B527;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/p720x720/18339917_1448641841883220_2966215199004033024_n.jpg?oh=18a97f54c173dec92fd42a22f2cd84cb&oe=5B269D04;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/p720x720/18339917_1448641841883220_2966215199004033024_n.jpg?oh=18a97f54c173dec92fd42a22f2cd84cb&oe=5B269D04;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-07T14:06:04.304Z,Public,2018-02-07T14:06:21.864Z,2018-02-07T14:06:21.864Z,,,https://facebook.com/1789477797770284,18,4,,,,,7,,
1774671,364829450213092,Good Energies Alliance Ireland,1944063355623019,"Seminar yesterday celebrating the success of our “Climate Change: People Change” project with Italian, Croatian and Irish partners. We were joined by Finola Armstrong, Cathaoirleach, Leitrim County Council who praised the work being done with young people. A great day!",https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/553741_397978456898191_980887613_n.jpg?oh=93cc18582df14a0e04ac9869884b3119&oe=5B1342FB;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-0/s480x480/27867349_1944063308956357_6644250394407012598_n.jpg?oh=1ddee638b3c92d465865957549fb3c2f&oe=5B0FE0A5;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-0/s480x480/27867104_1944063322289689_3226039066328065786_n.jpg?oh=b03c2fdea77c0edcb675aae51aaa33e9&oe=5B0DBEA2;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-20T14:16:07.484Z,Public,2018-02-20T14:16:21.578Z,2018-02-20T14:16:21.578Z,,,https://facebook.com/1944063355623019,18,,,,,,2,3,
1752944,286540920602,UCD Students' Union,10160043539000603,"😍 2 hrs til the doors open for these pop legends 😍 Pres: The Student Bar, Astra Doors Open: 8pm, Bluemoose and then...🙌 S CLUB 🙌, After party: Coppers Full bar, full throttle, full cringe. Yeowwww",blob:https://www.facebook.com/a7e6aa92-e6bb-43de-9919-9ce9f2a9dfb1;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/11427726_10155708104990603_6018378309079031089_n.png?oh=11dae5c636501803ffc1940122038e8f&oe=5B02F37D;https://static.xx.fbcdn.net/images/emoji.php/v9/f2/1/16/1f60d.png;https://static.xx.fbcdn.net/images/emoji.php/v9/f2/1/16/1f60d.png;https://static.xx.fbcdn.net/images/emoji.php/v9/ffd/1/16/1f64c.png;https://static.xx.fbcdn.net/images/emoji.php/v9/ffd/1/16/1f64c.png;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/s403x403/27409761_10160043542985603_7729530635475222528_n.jpg?oh=8806a50fdbabf9e328db99dec6690a67&oe=5B147EAA;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/s403x403/27409761_10160043542985603_7729530635475222528_n.jpg?oh=8806a50fdbabf9e328db99dec6690a67&oe=5B147EAA;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-15T08:18:31.595Z,Public,2018-02-15T08:19:22.977Z,2018-02-15T08:19:22.977Z,,,https://facebook.com/10160043539000603,18,,,,,,7,,
1670574,330321486979917,WeWork,2070353096310072,"Your Vision, Our Expertise;Private offices specially crafted for your brand.",https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/14563383_1434905946521460_7663502805159843374_n.jpg?oh=9dc71f225407ff0ff32bfd34418d7018&oe=5AE2BCA1;https://scontent-dub4-1.xx.fbcdn.net/v/t45.1600-4/p476x249/23349986_23842692013550370_7933586739321372672_n.png?oh=78688175a99c5ffe42a2222bb580e85b&oe=5AE31194;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-01-26T07:56:57.070Z,Public,2018-01-26T07:57:27.984Z,2018-01-26T07:57:27.984Z,,,https://facebook.com/2070353096310072,18,,,1,,,2,,
1749740,184794924902791,FLYEfit,1551513708230899,Join our high intensity full body workout classes 💪 FLYEfit Conditioning at any of our 9 Dublin gyms,blob:https://www.facebook.com/45de8ee7-41d5-4557-89d4-ea126627c8d6;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/17362850_1232565183459088_394360899031047721_n.png?oh=259dc3137b162c08cabfe3a5f515ad21&oe=5B0E3A26;https://static.xx.fbcdn.net/images/emoji.php/v9/f6c/1/16/1f4aa.png;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/p403x403/27416277_1551514628230807_3453209184076562432_n.jpg?oh=9b518413a76fd8ee8c9d88eb150c7b45&oe=5B266FE7;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/p403x403/27416277_1551514628230807_3453209184076562432_n.jpg?oh=9b518413a76fd8ee8c9d88eb150c7b45&oe=5B266FE7;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/cLjNxAGt3iV.png;https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/cLjNxAGt3iV.png;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-14T14:12:57.507Z,Public,2018-02-14T14:13:23.129Z,2018-02-14T14:13:23.129Z,,,https://facebook.com/1551513708230899,18,1,,,,,,,
1780919,350398153501,O'Neills Sportswear,10156038382675119,"The O''Neills Outlet | New Lines Added;The O’Neills Outlet - New gear just added and moving fast, get it before its gone. Jackets, half zip squad tops, hoodies, t-shirts, polos and so much more!",blob:https://www.facebook.com/2be0dc8e-bebc-4c2f-81e3-fd4f36cc1cd9;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/26166196_10156966136213502_106349485565091005_n.jpg?oh=8280a064d52b1dd2795615f8b43fa939&oe=5B1D2DB6;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/27601195_10156038382970119_9169776802120335360_n.jpg?oh=3ba739c6a08afc413594c44ed6c2e34a&oe=5B1A4857;https://scontent-lht6-1.xx.fbcdn.net/v/t15.0-10/27601195_10156038382970119_9169776802120335360_n.jpg?oh=3ba739c6a08afc413594c44ed6c2e34a&oe=5B1A4857;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/12494963_10207942656666299_265697280238224145_n.jpg?oh=05dc195c4709323f24cdc95218cf7cab&oe=5B1FFCF5,,,,2018-02-21T16:14:35.660Z,Public,2018-02-21T16:15:24.801Z,2018-02-21T16:15:24.801Z,,,https://facebook.com/10156038382675119,18,,,,,,4,3,Gaelic Athletic Association
1779274,59794221807,GET ME IN!,10156792988916808,"Sam Smith Tickets;Tickets available on Get Me In! Ticketmaster''s Official Marketplace.;British singer-songwriter Sam Smith returns this spring. Announcing his \""The Thrill Of It All\"" UK & Ireland arena tour, the star will perform throughout March & April 2018.",https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p50x50/10437645_10153830277881808_756062493900447183_n.png?oh=61995e47ac38aa4d2dcc7bf15b2925aa&oe=5B4DBC4F;https://scontent-lht6-1.xx.fbcdn.net/v/t45.1600-4/c0.15.476.249/p476x249/25512445_6099942716473_6635050570476421120_n.png?oh=13ad7ced427590c3b984d688a5b307bb&oe=5B4D1F69;https://scontent-lht6-1.xx.fbcdn.net/v/t1.0-1/p32x32/15032235_1323513164350190_6731628037071600246_n.jpg?oh=f88178ef391f4249b45db741ed72a8dc&oe=5B4E1A0A,,,,2018-02-21T11:36:29.805Z,Public,2018-02-21T11:37:21.879Z,2018-02-21T11:37:21.879Z,,,https://facebook.com/10156792988916808,18,2,,,,,7,,
